"","X.1","X","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","winHome","home_games_10days","away_games_10days","home_sos_losses","home_sos_wins","home_sos_total","away_sos_losses","away_sos_wins","away_sos_total","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","last30_away_pitcher_winpct","last30_home_pitcher_winpct","last30_away_pitcher_mean_ip","last30_home_pitcher_mean_ip","last30_away_pitcher_ERA","last30_home_pitcher_ERA","last30_away_pitcher_WHIP","last30_home_pitcher_WHIP","home_dif_win_pct","away_dif_win_pct"
"11",11,11,718615,"2023-04-11","N","night",3,8,0.273,6,4,0.6,"TEX","American League","American League West","KCR","American League","American League Central",0,0,"1",9,10,0.43325+0i,0.245166666666667,0.3204,0.43325+0i,0.245166666666667,0.3204,0.699667221297837,3,6,4,5,2,58,38,0,0,1,0,0.259407772979642,2,3,7,2,2,29,47,0,0,0,0.333333333333333,5.68888888888889,5.01666666666667,7.14,2.67,1.336,0.758,0,0.5,5.22,4.6,9.57,0.93,1.405,0.517,0.099667221297837,-0.0135922270203578
"12",12,12,718613,"2023-04-11","N","night",3,7,0.3,5,6,0.455,"COL","National League","National League West","STL","National League","National League Central",0,0,"0",9,9,0.304333333333333+0i,0.1666,0.241727272727273,0.304333333333333+0i,0.1666,0.241727272727273,0.398271391529818,3,4,6,3,2,41,57,0,0,1,0,0.399900024993752,1,3,7,1,3,40,49,0,0,0.222222222222222,0.444444444444444,5.24444444444444,5.67777777777778,4.91,3.16,1.573,1.11,0.4,0.4,5.44,6,2.6,2.7,1.229,1,-0.0567286084701815,0.0999000249937516
"13",13,13,718614,"2023-04-11","N","night",4,7,0.364,5,5,0.5,"LAA","American League","American League West","WSN","National League","National League East",1,0,"1",9,10,0.3254+0i,0.5416,0.4335,0.3254+0i,0.5416,0.4335,0.61972800826304,2,5,5,1,3,60,47,1,0,0,1,0.362514990577351,3,4,6,3,2,44,54,0,0,0.333333333333333,0.555555555555556,5.8,5.88888888888889,2.73,3.23,1.348,0.906,0.5,0.6,6,6.4,2,4.78,1.306,0.906,0.11972800826304,-0.00148500942264862
"14",14,14,718611,"2023-04-11","N","night",7,3,0.7,7,4,0.636,"ARI","National League","National League West","MIL","National League","National League Central",0,0,"0",9,9,0.41675+0i,0.705714285714286,0.600636363636364,0.41675+0i,0.705714285714286,0.600636363636364,0.5,4,7,3,4,1,51,45,0,0,1,0,0.773154362416107,3,7,3,2,2,48,26,0,0,0.444444444444444,0.444444444444444,5.68888888888889,5.78888888888889,3.48,2.92,1.161,1.089,0.4,0.6,5.8,6.2,2.48,3.19,1.241,0.968,-0.136,0.0731543624161074
"15",15,15,718624,"2023-04-11","N","night",6,5,0.545,4,6,0.4,"SFG","National League","National League West","LAD","National League","National League West",0,1,"1",9,9,0.298833333333333+0i,0.58325,0.4126,0.298833333333333+0i,0.58325,0.4126,0.469724770642202,2,4,6,1,3,48,51,0,0,0,1,0.70159151193634,2,5,5,2,3,61,43,0,0,0.444444444444444,0,5.33333333333333,3.8,2.63,2.87,0.938,1.468,0.6,0,4.8,4,2.25,4.5,0.958,1.375,0.0697247706422018,0.156591511936339
"16",16,16,718608,"2023-04-12","N","day",5,7,0.417,7,4,0.636,"PIT","National League","National League Central","HOU","American League","American League West",1,0,"0",9,9,0.31875+0i,0.413571428571429,0.379090909090909,0.31875+0i,0.413571428571429,0.379090909090909,0.480776340110906,3,6,4,3,2,46,49,0,0,1,1,0.553418124006359,2,4,6,2,3,51,47,2,0,NA,0.444444444444444,NA,5.23333333333333,NA,3.8,NA,1.352,NA,0.6,NA,5.22,NA,2.39,NA,1.367,-0.155223659889094,0.136418124006359
"17",17,17,718610,"2023-04-12","N","day",7,5,0.583,6,6,0.5,"NYM","National League","National League East","SDP","National League","National League West",0,0,"1",9,9,0.515833333333333+0i,0.372833333333333,0.444333333333333,0.515833333333333+0i,0.372833333333333,0.444333333333333,0.45840554592721,3,5,5,3,2,40,45,0,0,1,1,0.54842956554448,4,7,3,4,2,51,38,0,0,0.125,0.5,5.125,5.0125,4.61,4.02,1.537,1.512,0.2,0.2,5.6,4.82,3.54,5.18,1.25,1.726,-0.0415944540727903,-0.03457043445552
"18",18,18,718605,"2023-04-12","N","day",5,7,0.417,7,4,0.636,"MIN","American League","American League Central","CHW","American League","American League Central",0,1,"1",9,9,0.3165+0i,0.215571428571429,0.252272727272727,0.3165+0i,0.215571428571429,0.252272727272727,0.668277528477736,3,6,4,3,2,42,31,2,0,1,1,0.388634587473484,2,4,6,3,4,53,66,1,1,0.222222222222222,0.444444444444444,5.91111111111111,5.45555555555556,3.86,1.64,1.118,1.155,0.333333333333333,0.333333333333333,6.36666666666667,5.35,3.03,2.23,0.905,1.237,0.0322775284777356,-0.0283654125265155
"19",19,19,718604,"2023-04-12","N","day",7,4,0.636,7,5,0.583,"CLE","American League","American League Central","NYY","American League","American League East",0,0,"0",9,9,0.3022+0i,0.525285714285714,0.432333333333333,0.3022+0i,0.525285714285714,0.432333333333333,0.473470026608233,2,6,4,2,3,46,51,4,0,1,1,0.783080260303688,3,6,4,3,2,52,30,0,0,0.111111111111111,0,4.44444444444444,5.7,6.3,5.19,1.65,1.327,0.166666666666667,0,4.85,6,5.52,5.7,1.534,1.4,-0.109529973391767,0.147080260303688
"20",20,20,718606,"2023-04-12","N","day",4,8,0.333,6,4,0.6,"CHC","National League","National League Central","SEA","American League","American League West",1,0,"0",8,9,0.41675+0i,0.458666666666667,0.4419,0.41675+0i,0.458666666666667,0.4419,0.621940325174201,4,6,4,5,3,59,46,1,0,2,0,0.455838674378615,2,3,7,2,3,47,50,3,0,0.125,0.222222222222222,5.75,5.55555555555556,3.91,3.24,1.022,1.18,0,0,5.82,5.33333333333333,4.6,4.5,0.989,1.281,0.0219403251742005,0.122838674378615
