"","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","winHome","home_dif_win_pct","away_dif_win_pct","description","rescheduledFrom","rescheduledFromDate"
"16",718608,"2023-04-12","N","day",6,7,0.462,7,5,0.583,"PIT","National League","National League Central","HOU","American League","American League West",1,0,0.480776340110906,3,6,4,3,2,46,49,0,0,1,1,0.553418124006359,2,4,6,2,3,51,47,2,0,NA,0,NA,4.5,NA,10,NA,1.444,0,-0.102223659889094,0.0914181240063592,NA,NA,NA
"17",718610,"2023-04-12","N","day",7,6,0.538,7,6,0.538,"NYM","National League","National League East","SDP","National League","National League West",0,0,0.45840554592721,3,5,5,3,2,40,45,0,0,1,1,0.54842956554448,4,7,3,4,2,51,38,0,0,0,1,4,5.5,7.88,1.64,2.125,1.182,1,-0.0795944540727903,0.0104295655444799,NA,NA,NA
"18",718605,"2023-04-12","N","day",5,8,0.385,8,4,0.667,"MIN","American League","American League Central","CHW","American League","American League Central",0,1,0.668277528477736,3,6,4,3,2,42,31,2,0,1,1,0.388634587473484,2,4,6,3,4,53,66,1,1,0,0.5,4.5,6,9,0.75,2,1,1,0.00127752847773555,0.00363458747348444,NA,NA,NA
"19",718604,"2023-04-12","N","day",8,4,0.667,7,6,0.538,"CLE","American League","American League Central","NYY","American League","American League East",0,0,0.473470026608233,2,6,4,2,3,46,51,4,0,1,1,0.783080260303688,3,6,4,3,2,52,30,0,0,0,NA,3.1,NA,9.45,NA,2.1,NA,0,-0.0645299733917671,0.116080260303688,NA,NA,NA
"20",718606,"2023-04-12","N","day",5,8,0.385,6,5,0.545,"CHC","National League","National League Central","SEA","American League","American League West",1,0,0.621940325174201,4,6,4,5,3,59,46,1,0,2,0,0.455838674378615,2,3,7,2,3,47,50,3,0,0,1,5,6,3.6,0,1.3,0.917,0,0.0769403251742005,0.070838674378615,NA,NA,NA
"21",718607,"2023-04-12","N","day",5,7,0.417,5,8,0.385,"COL","National League","National League West","STL","National League","National League Central",0,0,0.386737400530504,2,3,7,3,3,43,65,0,0,1,1,0.442499078510874,2,4,6,2,3,40,45,0,0,0.5,NA,5,NA,1.8,NA,1.7,NA,0,0.00173740053050397,0.0254990785108736,NA,NA,NA
"22",718598,"2023-04-12","N","day",8,4,0.667,8,5,0.615,"ARI","National League","National League West","MIL","National League","National League Central",0,0,0.447513812154696,4,6,4,4,2,50,51,0,0,1,1,0.805807139051678,3,8,2,3,1,55,23,0,0,NA,Inf,NA,Inf,NA,2.16,NA,1.2,1,-0.167486187845304,0.138807139051678,NA,NA,NA
"23",718609,"2023-04-12","N","day",6,7,0.462,4,8,0.333,"PHI","National League","National League East","MIA","National League","National League East",0,1,0.376923076923077,3,4,6,3,2,42,52,0,0,1,1,0.254718645263715,2,4,6,2,3,33,59,0,0,0,0,3.1,4.6,5.4,5.59,2.25,1.655,0,0.0439230769230769,-0.207281354736285,NA,NA,NA
"24",718602,"2023-04-12","N","day",4,9,0.308,7,5,0.583,"LAA","American League","American League West","WSN","National League","National League East",1,0,0.635056996530646,2,6,4,2,3,61,45,1,0,1,1,0.347740345110928,3,4,6,3,3,43,49,0,0,1,NA,5.55,NA,2.38,NA,1.235,NA,1,0.052056996530646,0.0397403451109285,NA,NA,NA
"25",718599,"2023-04-12","N","night",3,9,0.25,6,6,0.5,"BAL","American League","American League East","OAK","American League","American League West",0,0,0.533296337402886,3,5,5,3,2,52,49,0,0,2,0,0.140609742866442,0,1,9,0,5,34,88,2,0,0,0,4.1,4,14.54,10.13,2.423,1.875,0,0.0332963374028857,-0.109390257133558,NA,NA,NA
"26",718600,"2023-04-12","N","night",5,7,0.417,12,0,1,"TBR","American League","American League East","BOS","American League","American League East",0,1,0.945122787762382,5,10,0,7,0,79,20,0,0,2,0,0.551586125111177,3,5,5,3,2,52,45,0,0,0.5,NA,4,NA,11.25,NA,2,NA,1,-0.0548772122376183,0.134586125111177,NA,NA,NA
"27",718603,"2023-04-12","N","night",2,9,0.182,8,4,0.667,"TOR","American League","American League East","DET","American League","American League Central",0,0,0.516124837451235,4,6,4,1,0,53,52,1,0,1,0,0.151489648207372,0,2,8,2,5,30,71,1,0,0,0.5,5,6,6.3,0,1.3,1.25,1,-0.150875162548765,-0.0305103517926275,NA,NA,NA
"28",718601,"2023-04-12","N","night",4,7,0.364,9,4,0.692,"ATL","National League","National League East","CIN","National League","National League Central",0,0,0.583521248915872,2,6,4,3,3,44,46,1,0,2,0,0.447513812154696,1,4,6,1,4,45,50,1,0,0,0.5,4,5.5,5.63,2.45,2,1.182,1,-0.108478751084128,0.0835138121546962,NA,NA,NA
"29",718595,"2023-04-12","N","night",4,9,0.308,7,5,0.583,"TEX","American League","American League West","KCR","American League","American League Central",0,0,0.70201450443191,3,6,4,5,2,55,36,1,0,2,0,0.262429057888763,2,3,7,2,3,34,53,1,1,0.5,0.5,5.05,5.1,2.61,4.22,1.452,1.313,0,0.11901450443191,-0.0455709421112372,NA,NA,NA
"30",718612,"2023-04-12","N","night",7,6,0.538,5,7,0.417,"SFG","National League","National League West","LAD","National League","National League West",0,1,0.519223659889094,2,5,5,2,3,53,46,0,0,1,1,0.655694807877703,1,5,5,2,4,60,46,0,0,0.5,0,6,5.1,3.75,2.53,1.083,1.125,0,0.102223659889094,0.117694807877703,NA,NA,NA
"31",718596,"2023-04-13","N","day",3,10,0.231,7,6,0.538,"BAL","American League","American League East","OAK","American League","American League West",0,0,0.5,2,5,5,3,3,48,48,0,0,2,1,0.18290033065659,1,2,8,1,5,41,79,2,0,0,0,Inf,4.1,4.66,9.35,1.345,2.077,1,-0.038,-0.0480996693434105,NA,NA,NA
"32",718594,"2023-04-13","N","day",5,8,0.385,13,0,1,"TBR","American League","American League East","BOS","American League","American League East",0,1,0.92070053301425,5,10,0,7,0,76,25,0,0,3,0,0.530275229357798,2,4,6,3,3,50,46,0,0,0,1,4.05,6.5,6.48,0,1.68,0.539,1,-0.0792994669857501,0.145275229357798,NA,NA,NA
"33",718597,"2023-04-13","N","night",4,9,0.308,5,7,0.417,"CIN","National League","National League Central","PHI","National League","National League East",0,0,0.442499078510874,1,4,6,3,1,45,50,1,0,1,2,0.373868046571798,2,4,6,1,3,41,39,1,1,0,0.5,5.05,6,2.61,1.5,1.065,1.167,1,0.0254990785108736,0.0658680465717982,NA,NA,NA
